{'nome': 'Jack Stall Beck', 'classe': 'ED', 'level': 831, 'exp': 9504415805}
{'nome': 'American York', 'classe': 'RP', 'level': 830, 'exp': 9466438901}
{'nome': 'Miingau', 'classe': 'ED', 'level': 817, 'exp': 9047341096}
{'nome': 'Fogo No Parquinho', 'classe': 'RP', 'level': 764, 'exp': 7375339388}
{'nome': 'Flairstaar', 'classe': 'MS', 'level': 764, 'exp': 7374624258}
{'nome': 'Nobzinha', 'classe': 'ED', 'level': 755, 'exp': 7139963748}
{'nome': 'Livius', 'classe': 'RP', 'level': 746, 'exp': 6882654950}
{'nome': 'Matuto', 'classe': 'ED', 'level': 744, 'exp': 6831003381}
{'nome': 'Guthan', 'classe': 'ED', 'level': 738, 'exp': 6661216703}
{'nome': 'Smooking', 'classe': 'RP', 'level': 737, 'exp': 6618417555}
{'nome': 'Megadivo', 'classe': 'ED', 'level': 727, 'exp': 6362130623}
{'nome': 'Vyssen', 'classe': 'RP', 'level': 722, 'exp': 6227340732}
{'nome': 'Bandoleiro', 'classe': 'RP', 'level': 721, 'exp': 6202167213}
{'nome': 'Staz Charlie', 'classe': 'MS', 'level': 719, 'exp': 6167651806}
{'nome': 'Darin Rookes', 'classe': 'ED', 'level': 710, 'exp': 5922323244}
{'nome': 'Britney Spears', 'classe': 'RP', 'level': 705, 'exp': 5803685412}
{'nome': 'Crazy Plane', 'classe': 'ED', 'level': 705, 'exp': 5800317521}
{'nome': 'Uzumaki Boruto', 'classe': 'RP', 'level': 704, 'exp': 5769081487}
{'nome': 'Shofia', 'classe': 'RP', 'level': 701, 'exp': 5712813717}
{'nome': 'Prox Zika', 'classe': 'RP', 'level': 700, 'exp': 5669149342}
{'nome': 'Destinity', 'classe': 'ED', 'level': 695, 'exp': 5559678223}
{'nome': 'Goku Ultra', 'classe': 'RP', 'level': 694, 'exp': 5539648317}
{'nome': 'Calzinha Bolt', 'classe': 'RP', 'level': 694, 'exp': 5530736076}
{'nome': 'King Castle', 'classe': 'RP', 'level': 693, 'exp': 5521716706}
{'nome': 'Warcau Onke', 'classe': 'RP', 'level': 692, 'exp': 5495832931}
{'nome': 'Kharseke', 'classe': 'RP', 'level': 681, 'exp': 5224386376}
{'nome': 'Ceruttera Knight', 'classe': 'EK', 'level': 680, 'exp': 5198035054}
{'nome': 'Miilka', 'classe': 'RP', 'level': 678, 'exp': 5168040046}
{'nome': 'Hurek', 'classe': 'RP', 'level': 678, 'exp': 5165396698}
{'nome': 'Vyper', 'classe': 'ED', 'level': 677, 'exp': 5137968186}
{'nome': 'Suzor', 'classe': 'RP', 'level': 676, 'exp': 5113725806}
{'nome': 'Meikzada', 'classe': 'ED', 'level': 676, 'exp': 5110918693}
{'nome': 'Plutiss', 'classe': 'RP', 'level': 676, 'exp': 5103497617}
{'nome': 'Lucry', 'classe': 'ED', 'level': 674, 'exp': 5063664442}
{'nome': 'Sleep Neon', 'classe': 'RP', 'level': 674, 'exp': 5058589031}
{'nome': 'Michael Vick', 'classe': 'ED', 'level': 673, 'exp': 5035922269}
{'nome': 'Mayara', 'classe': 'RP', 'level': 673, 'exp': 5035256735}
{'nome': 'Mariia Da Paz', 'classe': 'RP', 'level': 672, 'exp': 5033005786}
{'nome': 'Marolar', 'classe': 'RP', 'level': 672, 'exp': 5021901048}
{'nome': 'Reativado', 'classe': 'RP', 'level': 672, 'exp': 5018176487}
{'nome': 'Reggae Nation', 'classe': 'RP', 'level': 671, 'exp': 4990368972}
{'nome': 'Flairsteep', 'classe': 'RP', 'level': 670, 'exp': 4980910662}
{'nome': 'Litox', 'classe': 'ED', 'level': 670, 'exp': 4978006624}
{'nome': 'Eloi Palazin', 'classe': 'RP', 'level': 669, 'exp': 4949047968}
{'nome': 'Tulicol', 'classe': 'ED', 'level': 668, 'exp': 4945555644}
{'nome': 'Vlop', 'classe': 'ED', 'level': 668, 'exp': 4941478849}
{'nome': 'Undead Buttowski', 'classe': 'RP', 'level': 668, 'exp': 4927571096}
{'nome': 'Gabee zhor', 'classe': 'ED', 'level': 667, 'exp': 4917262601}
{'nome': 'Sir Loco', 'classe': 'ED', 'level': 666, 'exp': 4889851757}
{'nome': 'Finkz Na Noiten', 'classe': 'ED', 'level': 665, 'exp': 4868857100}
{'nome': 'Puro Sangue', 'classe': 'RP', 'level': 664, 'exp': 4837755697}
{'nome': 'Silvia', 'classe': 'ED', 'level': 663, 'exp': 4830829774}
{'nome': 'Kakkarotto', 'classe': 'RP', 'level': 663, 'exp': 4825438641}
{'nome': 'Gordofobia', 'classe': 'RP', 'level': 662, 'exp': 4793537140}
{'nome': 'Shaft', 'classe': 'RP', 'level': 661, 'exp': 4787514631}
{'nome': 'Czar Butowski', 'classe': 'RP', 'level': 660, 'exp': 4761278142}
{'nome': 'Princesa Zelda', 'classe': 'RP', 'level': 657, 'exp': 4703151773}
{'nome': 'Niz Ty Gowno', 'classe': 'ED', 'level': 655, 'exp': 4659890188}
{'nome': 'Pombo Stanlley', 'classe': 'RP', 'level': 654, 'exp': 4632641723}
{'nome': 'Infant Annihilator', 'classe': 'RP', 'level': 654, 'exp': 4631554169}
{'nome': 'Mochilox', 'classe': 'ED', 'level': 653, 'exp': 4617806857}
{'nome': 'Jacarezinhow', 'classe': 'RP', 'level': 653, 'exp': 4606592369}
{'nome': 'Sr Maconheiro', 'classe': 'ED', 'level': 653, 'exp': 4600347826}
{'nome': 'Madara Uchiha', 'classe': 'RP', 'level': 652, 'exp': 4596627650}
{'nome': 'Yamavoodoom', 'classe': 'RP', 'level': 651, 'exp': 4574700212}
{'nome': 'Paly Mal', 'classe': 'RP', 'level': 651, 'exp': 4568371568}
{'nome': 'Homesick', 'classe': 'ED', 'level': 651, 'exp': 4556080362}
{'nome': 'Prazerr', 'classe': 'EK', 'level': 649, 'exp': 4528238445}
{'nome': 'Myzaky', 'classe': 'ED', 'level': 649, 'exp': 4527844437}
{'nome': 'Oyama', 'classe': 'RP', 'level': 647, 'exp': 4479086062}
{'nome': 'Elite Bruxa', 'classe': 'EK', 'level': 646, 'exp': 4465677170}
{'nome': 'Pally Dim', 'classe': 'RP', 'level': 646, 'exp': 4462545119}
{'nome': 'Reve', 'classe': 'RP', 'level': 646, 'exp': 4451614619}
{'nome': 'Bigg', 'classe': 'EK', 'level': 643, 'exp': 4408904124}
{'nome': 'Lynex', 'classe': 'RP', 'level': 642, 'exp': 4370896865}
{'nome': 'Jimmy Neutron', 'classe': 'MS', 'level': 642, 'exp': 4369567437}
{'nome': 'Stylle Arsher Onwz', 'classe': 'RP', 'level': 641, 'exp': 4365341995}
{'nome': 'Libano', 'classe': 'RP', 'level': 641, 'exp': 4356566387}
{'nome': 'Kavox', 'classe': 'ED', 'level': 641, 'exp': 4352572568}
